PuzzleId,FEN,Moves,Rating,ThemeList
UpcIr,8/6kp/p7/P5P1/3qpP2/3n2K1/3Q4/5B2 w - - 1 45,f1d3 d4d3 d2d3 e4d3 g3f3 g7g6,2171,"[""crushing"", ""endgame"", ""long""]"
0TDZc,5qk1/p2R1rbp/1p2Q1p1/2p5/1PP2p2/2N3PP/P4PK1/8 b - - 0 27,f4g3 c3e4 g3f2 g2f1,2346,"[""crushing"", ""endgame"", ""short""]"
bx3Va,rnb1k1nr/ppp2ppp/4p3/3q4/8/P1P5/2PP1PPP/R1BQKBNR w KQkq - 0 6,c3c4 d5e5 f1e2 e5a1,1041,"[""advantage"", ""fork"", ""opening"", ""short""]"
RsxZy,3r2k1/2pN1p1p/1pPnp1p1/p7/5P2/P5PP/4P1K1/3R4 b - - 5 33,g8g7 d1d6 c7d6 d7b6 d8b8 c6c7 b8b6 c7c8q,2307,"[""advancedPawn"", ""advantage"", ""deflection"", ""endgame"", ""promotion"", ""veryLong""]"
2frad,r2qk2r/1p2bppp/p1n1pn2/3p2Bb/3P3Q/2PB1P2/PP2N1PP/RN3RK1 b kq - 3 11,e8g8 g5f6 e7f6 h4h5,1143,"[""advantage"", ""capturingDefender"", ""opening"", ""short""]"
9Ibdb,2r1kbnr/1p1q1p2/p1n1p1pp/1N1pP3/Q2P4/5B2/PP1B1PPP/2R2RK1 w k - 2 17,b5a7 c6a7 c1c8 a7c8,1248,"[""advantage"", ""hangingPiece"", ""middlegame"", ""short""]"
VPKTV,r3r1k1/ppq2pp1/2p3p1/3p4/3Pnb2/PNP2N1P/1PQ2PP1/4RRK1 w - - 2 18,f3d2 f4h2 g1h1 e4f2 f1f2 e8e1,1708,"[""crushing"", ""deflection"", ""discoveredAttack"", ""kingsideAttack"", ""long"", ""middlegame""]"
gKmao,8/1r4pp/2p5/3pP1q1/3P3k/5QPP/5P2/6K1 b - - 0 36,h4h3 g3g4 h3h4 f3g3,2013,"[""discoveredAttack"", ""discoveredCheck"", ""endgame"", ""mate"", ""mateIn2"", ""short""]"
G5H7b,1k2R3/1pp3r1/p7/Q1P2pr1/2PP3p/5q1P/1R4P1/6K1 b - - 3 32,b8a7 a5b6 c7b6 c5b6,1962,"[""endgame"", ""mate"", ""mateIn2"", ""sacrifice"", ""short""]"
I7ERN,r1b2r2/pp2qpk1/2p2bp1/2n3N1/2B3PP/2N4Q/PPP5/2KR3R b - - 5 21,f6g5 h4g5 e7g5 c1b1,1411,"[""advantage"", ""defensiveMove"", ""middlegame"", ""short""]"
qfG29,8/p4pkp/2Q2p1b/1pP5/1P1P3N/P7/5qPK/8 w - - 0 33,h4f3 h6f4 h2h1 f2f1 f3g1 f4e3,1285,"[""crushing"", ""endgame"", ""long""]"
frgPt,2r2k1r/p3b1p1/1p2pnBp/2P5/2P4P/5Q2/P2q1PK1/R4R2 b - - 0 21,e7c5 a1d1 d2d8 d1d8,2093,"[""advantage"", ""middlegame"", ""short""]"
4ik1J,8/p5pp/3kp3/3pNp2/3KnP2/7r/P7/6R1 b - - 1 37,e4f2 g1g7 h3d3 e5d3 f2d3 d4d3,1758,"[""crushing"", ""endgame"", ""long""]"
fQGPF,8/6R1/8/8/1r1pP3/K2B4/2Pk2R1/1q6 b - - 7 46,d2c3 g7c7 b4c4 c7c4,924,"[""endgame"", ""mate"", ""mateIn2"", ""operaMate"", ""short""]"
AwG8C,r1b5/2p1q1pp/p1np1k2/1p3P1Q/1b2P3/2p1N3/P5PP/R4RK1 b - - 1 22,e7e4 e3g4 e4g4 h5g4,1132,"[""crushing"", ""middlegame"", ""short""]"
YaH1r,6k1/1p4p1/2nBp2p/2NnP1q1/8/8/rP2Q1PP/2R3K1 w - - 2 29,c1f1 d5f4 f1f4 g5f4,2110,"[""crushing"", ""middlegame"", ""short""]"
B9yvg,r1b1r2k/pp2Pp1p/3p2pQ/q2Pn3/1p2P1N1/P1N4P/2P1B1P1/R3K2n b Q - 1 25,e5g4 h6f8 e8f8 e7f8q,1626,"[""advancedPawn"", ""kingsideAttack"", ""mate"", ""mateIn2"", ""middlegame"", ""promotion"", ""short""]"
nlDW1,8/8/2p5/1p2k1pp/1P1p4/3K2PP/P4P2/8 b - - 1 38,e5d5 f2f4 g5f4 g3f4 c6c5 b4c5,1979,"[""crushing"", ""endgame"", ""long"", ""pawnEndgame""]"
JBzun,5Q2/7p/2p3p1/p2p1R1k/P2P3P/2q5/1r6/r4BK1 b - - 4 44,h5g4 f5g5 g4h4 f8f4,1681,"[""endgame"", ""mate"", ""mateIn2"", ""short""]"
bYg5R,8/1R5p/2p1k3/8/P2K4/1P5r/8/8 b - - 2 47,h3h4 d4c5 h4h3 a4a5,2161,"[""crushing"", ""defensiveMove"", ""endgame"", ""master"", ""rookEndgame"", ""short""]"
8by96,3rr2k/pp4pp/1np2b1q/6N1/2PPBpbP/1PBQ4/P4KP1/R6R b - - 8 21,f6g5 h4g5 h6g5 h1h7 h8g8 a1h1,2307,"[""crushing"", ""defensiveMove"", ""discoveredAttack"", ""kingsideAttack"", ""long"", ""middlegame""]"
AaOVL,8/6pp/p1k5/P2RP3/1p1p4/3Pb2P/5rB1/7K b - - 0 41,f2g2 d5d6 c6b5 h1g2,1589,"[""crushing"", ""endgame"", ""intermezzo"", ""short""]"
TV8Dl,1r1q1rk1/2p2p2/p1npb2p/2b1p3/2P1PPn1/2NP3P/P2BN1BK/R2Q1R2 w - - 1 17,h3g4 d8h4 g2h3 e6g4 f1f3 g4f3,1447,"[""crushing"", ""intermezzo"", ""long"", ""middlegame""]"
EtMUO,r5k1/ppp3q1/2b3R1/6P1/4PN2/2NP4/PP6/2K5 b - - 1 27,a8d8 g6g7 g8g7 f4e6 g7g6 e6d8,1316,"[""attraction"", ""crushing"", ""endgame"", ""exposedKing"", ""fork"", ""long""]"
Gni2e,r3r1k1/pp5p/5p1n/8/2P3P1/5N1P/qP1Q4/2KR3R w - - 0 23,d2h6 a2c4 c1b1 c4e4,2105,"[""crushing"", ""middlegame"", ""short""]"
gcSRk,r2nk1r1/pp2b2p/4q1n1/2p1NQpB/P1PpP3/7P/1PP2PP1/R4RK1 w q - 1 19,e5g6 h7g6 f5e6 d8e6,1595,"[""advantage"", ""fork"", ""master"", ""middlegame"", ""short""]"
jPm50,2kr4/1p1b2pp/pb6/4P3/5BnP/6P1/PP3PB1/2R3K1 b - - 1 26,c8b8 e5e6 b8a7 e6d7,1028,"[""advancedPawn"", ""advantage"", ""discoveredAttack"", ""discoveredCheck"", ""middlegame"", ""queensideAttack"", ""short""]"
8I33k,8/1p4p1/7p/1pk5/5PP1/PPpK3P/8/8 b - - 2 40,b5b4 a3b4 c5b4 d3c2 b4c5 c2c3,2196,"[""crushing"", ""endgame"", ""long"", ""pawnEndgame""]"
wdNNx,6k1/Bb3p1p/6p1/QN2p3/1n6/5PP1/4PK1P/2q5 b - - 2 30,c1b2 a5d8 g8g7 a7c5 b4d3 d8d3,2306,"[""crushing"", ""endgame"", ""long""]"
YsF6D,4rb2/2k5/2ppBp2/P4N1p/P3PB1n/8/2PQ2PK/5q2 w - - 2 33,f5d6 f1f4 d2f4 f8d6 f4d6 c7d6,1870,"[""crushing"", ""long"", ""middlegame"", ""pin"", ""sacrifice""]"
H9SX4,6k1/pp3p1p/3qnQ2/6pK/6P1/5R1P/P2r4/2R5 b - - 1 36,e6f4 f3f4 d6f6 f4f6,1074,"[""crushing"", ""endgame"", ""short""]"
ieYQI,3rr3/pp1N1pkp/8/2p1N3/3n4/1P6/P4PPP/B2R2K1 b - - 6 22,e8e5 a1d4 c5d4 d7e5,2076,"[""crushing"", ""endgame"", ""intermezzo"", ""pin"", ""short""]"
99jvE,8/8/p4pk1/P2p4/3P2P1/5K2/8/8 b - - 0 46,f6f5 f3f4 f5g4 f4g4 g6f6 g4f4,1684,"[""crushing"", ""defensiveMove"", ""endgame"", ""long"", ""pawnEndgame"", ""zugzwang""]"
oZgsJ,2r2k2/1b3p1Q/p3p1p1/qp1pP3/3P1P2/7R/PBr3PP/R4K2 b - - 0 26,a5d2 h7h8 f8e7 h8f6 e7e8 h3h8 e8d7 f6f7 d7c6 f7e6 c6c7 e6d6,1985,"[""deflection"", ""mate"", ""mateIn5"", ""middlegame"", ""veryLong""]"
e48Fe,8/p7/1p6/8/7r/PN1Kpk2/1P2R3/8 w - - 6 50,b3d4 h4d4 d3d4 f3e2,1062,"[""crushing"", ""deflection"", ""endgame"", ""master"", ""short""]"
0OlSK,3r1bk1/pQ3ppp/8/1P1PP3/1nq5/2N4P/6P1/5RK1 b - - 0 26,c4c3 b7f7 g8h8 f7f8 d8f8 f1f8,852,"[""backRankMate"", ""deflection"", ""endgame"", ""long"", ""master"", ""mate"", ""mateIn3""]"
woWe9,6k1/5p1p/p1RB4/5p2/1P6/3b3P/1r3P2/6K1 b - - 0 40,d3e4 c6c8 g8g7 d6e5 g7h6 e5b2,1276,"[""crushing"", ""endgame"", ""fork"", ""long""]"
5IvIO,r2q1rk1/ppp3p1/3p1n1p/5b2/2P1p3/4P2N/PP2N1PP/R2Q1RK1 b - - 0 15,f6g4 d1d5 g8h8 f1f5 g4e3 f5f8,1543,"[""advantage"", ""kingsideAttack"", ""long"", ""middlegame""]"
hIbAe,8/5p2/1bp3kp/4Np2/p4P2/6PK/r6P/4R3 b - - 1 35,g6f6 e5d7 f6g7 d7b6,887,"[""advantage"", ""endgame"", ""fork"", ""short""]"
Jyh39,5nk1/6bp/4bqp1/8/1pp3P1/4P3/3NBP2/3QK2R w K - 0 23,e2c4 e6c4 d2c4 f6c6,2368,"[""advantage"", ""clearance"", ""middlegame"", ""short""]"
